Part Number,Qty Ordered,UM_Multiplier
EX-MDA-BK,216,1
EX-CNT,432,1
CABLE-BK,216,1
EX-SCR,864,1
EX-MDA-BK,216,1
EX-WW,216,1
EX-OR-22,432,1
EX-SPH-CL,216,1
RV-SEAL,432,1
EX-LSK-BK,216,1
EX-CNT,432,1
EX-USK-BK,216,1
EX-SCR,864,1
CABLE-BK,216,1
AV-CONTACT,760,1
AV-BASE-WH,380,1
ECD-WH,5,1
AV-TOWER-WH,380,1
CABLE-WH,76,1
LOT,0,1
AVLED-LW,380,1
AV-MC,76,1
AV-MS,152,1
 ,1,1
LV-CVR,82,1
LV-CH-WH,82,1
LV-ECR,70,1
 ,1,1
LDR8-80,12,1
 ,1,1
TLED-WH,89.91,1
FLBK-410-HM,121.397,1
WP-L01C,89.91,1
T24-150,1,1
T24-300,1,1
 ,0,1
CABLE-BK,48,1
EX-LSK-BK,31.68,1
EX-OR-22,63.36,1
EX-SCR,126.72,1
MARK,0,1
 ,0,1
EX-SPH-CL,31.68,1
EX-CNT,63.36,1
RV-SEAL,63.36,1
EX-USK-BK,31.68,1
EX-VI-WW,31.68,1
EX-MDA-BK,32,1
EC-D,8,1
ECW-L,8,1
BB-301,512,1
TLW-80,128,1
SH-02,600,1
MISC,8,1
RV-SEAL,70,1
EX-MDA-BK,35,1
C2-40-24V,1,1
CABLE-BK,70,1
MARK,0,1
 ,0,1
LOT,0,1
EX-G14-FR,35,1
EX-LSK-BK,35,1
EX-WW,35,1
EX-SCR,140,1
EX-OR-22,70,1
EX-USK-BK,35,1
EX-CNT,70,1
 ,0,1
EX-UB-WW,25,1
